seq,name,R_deconv_pc,R_obs_pc,M_core_msun,M_core_err_msun,T_dust_K,T_dust_err_K,N_H2_peak_cm2,N_H2_av_cm2,N_H2_avd_cm2,n_H2_peak_cm3,n_H2_av_cm3,n_H2_avd_cm3,alpha_BE,core_type,no_sed_fit,tentative_bound,co_high_vlsr
1,182154.6-025557,0.026,0.037,0.09,0.05,11.5,4.5,1e+21,8e+20,1.6e+21,5000,5000,14000,5.6,starless,1,0,0
2,182215.5-030107,0.023,0.033,0.09,0.05,11.5,4.5,1.1e+21,1e+21,2.2e+21,6000,7000,21000,4.7,starless,1,0,0
3,182246.4-032847,0.029,0.038,0.09,0.05,11.5,4.5,1e+21,8e+20,1.4e+21,6000,4000,11000,6,starless,1,0,0
4,182254.4-033415,0.025,0.034,0.11,0.05,11.5,4.5,1.2e+21,1.1e+21,2e+21,7000,7000,18000,4.6,starless,1,0,0
5,182303.8-032358,0.02,0.032,0.11,0.05,11.5,4.5,1.3e+21,1.3e+21,3.3e+21,7000,9000,36000,3.6,prestellar,1,1,0
6,182320.8-030539,0.019,0.032,0.1,0.05,11.5,4.5,1.1e+21,1.1e+21,3.1e+21,6000,8000,35000,3.9,prestellar,1,1,0
7,182324.2-025449,0.018,0.03,0.08,0.04,11.5,4.5,2.2e+21,1e+21,2.7e+21,13000,7000,32000,4.8,starless,1,0,0
8,182325.5-030410,0.034,0.048,0.67,0.23,9.6,0.7,7.2e+21,3.5e+21,6.9e+21,35000,16000,45000,1,prestellar,0,0,0
9,182325.9-025725,0.047,0.052,0.25,0.13,11.5,4.5,1.5e+21,1.1e+21,1.4e+21,7000,5000,6000,3.7,starless,1,0,0
10,182331.8-030327,0.076,0.081,2.13,0.6,9.8,0.6,6.4e+21,3.9e+21,4.3e+21,22000,11000,12000,0.7,prestellar,0,0,0
11,182339.9-031334,0.043,0.049,0.15,0.08,12.9,1.7,2.3e+21,8e+20,1e+21,11000,3000,5000,5.5,starless,0,0,0
12,182340.8-025616,0.02,0.032,0.08,0.04,11.5,4.5,9e+20,1e+21,2.6e+21,6000,7000,29000,4.7,starless,1,0,0
13,182344.2-025439,0.015,0.028,0.05,0.02,11.5,4.5,6e+20,8e+20,2.6e+21,4000,6000,38000,6,starless,1,0,0
14,182345.6-025551,0.043,0.048,0.67,0.44,9.8,1.4,7.6e+21,3.4e+21,4.4e+21,37000,15000,23000,1.3,prestellar,0,0,0
15,182347.5-025532,0.024,0.038,0.18,0.09,11.5,4.5,1.7e+21,1.5e+21,3.6e+21,9000,9000,32000,2.7,prestellar,1,1,0
16,182352.2-025550,0.015,0.028,0.22,0.24,9.6,1.9,4.3e+21,3.5e+21,1.22e+22,27000,28000,183000,1.3,prestellar,0,0,0
17,182352.8-025457,0.011,0.023,0.03,0.01,11.5,4.5,4e+20,7e+20,2.6e+21,3000,6000,50000,7.7,starless,1,0,0
18,182353.5-025436,0.088,0.092,0.44,0.22,11.5,4.5,2e+21,6e+20,7e+20,6000,2000,2000,3.9,starless,1,0,0
19,182404.2-025513,0.035,0.042,0.09,0.04,11.5,4.5,1e+21,6e+20,8e+20,5000,3000,5000,8,starless,1,0,0
20,182406.0-025633,0.066,0.07,0.3,0.15,11.5,4.5,1.7e+21,7e+20,8e+20,6000,2000,3000,4.3,starless,1,0,0
21,182410.1-034403,0.043,0.051,0.32,0.04,12.7,1.3,2.8e+21,1.5e+21,2e+21,13000,6000,10000,2.7,prestellar,0,1,0
22,182411.8-020512,0.025,0.039,0.06,0.03,11.5,4.5,1e+21,5e+20,1.2e+21,5000,3000,11000,7.6,starless,1,0,0
23,182428.8-025329,0.039,0.046,0.11,0.06,13.1,2.2,2.5e+21,6e+20,9e+20,13000,3000,5000,6.8,starless,0,0,0
24,182429.8-034118,0.035,0.042,0.13,0.08,10.9,1.5,2e+21,9e+20,1.3e+21,11000,4000,8000,5.2,starless,0,0,0
25,182435.4-031340,0.038,0.046,0.16,0.08,11.5,4.5,1.3e+21,9e+20,1.4e+21,7000,4000,8000,4.5,starless,1,0,0
26,182456.1-023101,0.042,0.049,0.1,0.04,11.7,1.1,1.5e+21,5e+20,7e+20,7000,2000,4000,8.2,starless,0,0,0
27,182500.5-030133,0.027,0.041,0.84,0.3,8.9,0.6,1.04e+22,5.9e+21,1.36e+22,55000,32000,109000,0.6,prestellar,0,0,0
28,182502.6-025242,0.032,0.044,0.08,0.04,16.9,2.5,1.1e+21,5e+20,1e+21,6000,3000,7000,7.6,starless,0,0,0
29,182509.9-035115,0.026,0.035,0.15,0.03,12.6,0.5,2.8e+21,1.4e+21,2.6e+21,16000,9000,22000,3.5,prestellar,0,1,0
30,182510.2-025845,0.031,0.039,0.57,0.28,11.5,4.5,9.9e+21,4.4e+21,6.8e+21,54000,25000,48000,1.1,prestellar,1,0,0
31,182511.4-025851,0.019,0.031,0.33,0.05,11.7,0.5,6.5e+21,4e+21,1.04e+22,39000,28000,117000,1.2,protostellar,0,0,0
32,182513.1-025955,0.017,0.029,0.85,0.42,11.5,4.5,1.08e+22,1.18e+22,3.48e+22,67000,88000,447000,0.4,protostellar,1,0,0
33,182513.7-025858,0.032,0.039,0.51,0.08,11.6,0.4,1.01e+22,3.9e+21,5.9e+21,55000,22000,40000,1.2,prestellar,0,0,0
34,182517.0-025540,0.02,0.031,0.1,0.05,11.5,4.5,1.2e+21,1.2e+21,2.9e+21,7000,9000,32000,3.9,prestellar,1,1,0
35,182520.4-025200,0.032,0.04,0.09,0.05,11.5,4.5,9e+20,7e+20,1.1e+21,5000,4000,7000,6.8,starless,1,0,0
36,182522.1-025538,0.04,0.049,0.18,0.09,12.5,1.5,2.2e+21,9e+20,1.3e+21,11000,4000,7000,4.5,starless,0,0,0
37,182529.8-025335,0.053,0.058,0.12,0.07,12.8,1.8,2e+21,4e+20,5e+20,8000,2000,2000,8.4,starless,0,0,0
38,182531.6-024905,0.12,0.12,1.01,0.51,11.5,4.5,2.1e+21,8e+20,9e+20,5000,1000,2000,2.3,prestellar,1,1,0
39,182536.5-030001,0.12,0.13,1.97,0.71,11.4,0.9,4.7e+21,1.5e+21,1.5e+21,11000,3000,3000,1.2,prestellar,0,0,0
40,182543.9-024940,0.023,0.035,0.1,0.05,11.5,4.5,9e+20,9e+20,2.2e+21,5000,6000,21000,4.7,starless,1,0,0
41,182545.9-025655,0.062,0.067,0.28,0.14,11.5,4.5,1.8e+21,8e+20,9e+20,7000,2000,3000,4.3,starless,1,0,0
42,182546.7-030547,0.037,0.045,0.11,0.07,14.1,2.7,2e+21,6e+20,9e+20,10000,3000,6000,6.7,starless,0,0,0
43,182546.8-025438,0.023,0.036,0.1,0.05,11.5,4.5,1.4e+21,9e+20,2.3e+21,8000,6000,23000,4.5,starless,1,0,0
44,182559.0-025424,0.035,0.042,0.06,0.05,13.7,3.4,1.4e+21,4e+20,6e+20,7000,2000,4000,11.6,starless,0,0,0
45,182603.5-035148,0.042,0.049,0.08,0.02,15.8,1.1,1e+21,4e+20,5e+20,5000,2000,3000,10.5,starless,0,0,0
46,182624.0-035127,0.038,0.045,0.13,0.08,13.2,2.2,1.8e+21,7e+20,1.1e+21,9000,4000,6000,5.8,starless,0,0,0
47,182629.6-030109,0.04,0.046,0.12,0.05,12.5,1.5,2.3e+21,7e+20,9e+20,11000,3000,5000,6.5,starless,0,0,0
