planet,name,a_m,e,i_deg,direction
Jupiter,Io,4.218000e+08,0.004,0.0,prograde
Jupiter,Europa,6.711000e+08,0.009,0.5,prograde
Jupiter,Ganymede,1.070400e+09,0.001,0.2,prograde
Jupiter,Callisto,1.882700e+09,0.007,0.3,prograde
Jupiter,Amalthea,1.814000e+08,0.003,0.4,prograde
Jupiter,Thebe,2.219000e+08,0.018,1.1,prograde
Jupiter,Adrastea,1.290000e+08,0.000,0.0,prograde
Jupiter,Metis,1.280000e+08,0.000,0.0,prograde
Jupiter,Himalia,1.143900e+10,0.160,28.4,prograde
Jupiter,Elara,1.171070e+10,0.212,27.8,prograde
Jupiter,Pasiphae,2.346320e+10,0.412,148.3,retrograde
Jupiter,Sinope,2.367930e+10,0.262,157.3,retrograde
Jupiter,Lysithea,1.169910e+10,0.117,27.7,prograde
Jupiter,Carme,2.313920e+10,0.261,164.6,retrograde
Jupiter,Ananke,2.102950e+10,0.238,147.6,retrograde
Jupiter,Leda,1.114520e+10,0.162,28.2,prograde
Jupiter,Callirrhoe,2.378940e+10,0.290,144.9,retrograde
Jupiter,Themisto,7.397000e+09,0.257,44.3,prograde
Jupiter,Magaclite,2.364010e+10,0.421,149.9,retrograde
Jupiter,Taygete,2.310340e+10,0.257,164.7,retrograde
Jupiter,Chaldene,2.292630e+10,0.261,164.7,retrograde
Jupiter,Harpalyke,2.088750e+10,0.239,147.8,retrograde
Jupiter,Kalyke,2.329800e+10,0.261,164.7,retrograde
Jupiter,Iocaste,2.106230e+10,0.223,148.7,retrograde
Jupiter,Erinome,2.302720e+10,0.272,164.3,retrograde
Jupiter,Isonoe,2.297630e+10,0.249,164.9,retrograde
Jupiter,Praxidike,2.093110e+10,0.245,148.2,retrograde
Jupiter,Autonoe,2.378520e+10,0.326,150.7,retrograde
Jupiter,Thyone,2.097270e+10,0.235,147.6,retrograde
Jupiter,Hermippe,2.110360e+10,0.220,150.2,retrograde
Jupiter,Aitne,2.305940e+10,0.273,164.5,retrograde
Jupiter,Eurydome,2.289450e+10,0.287,148.9,retrograde
Jupiter,Euanthe,2.082290e+10,0.243,148.1,retrograde
Jupiter,Euporie,1.926190e+10,0.148,145.5,retrograde
Jupiter,Orthosie,2.089780e+10,0.294,144.2,retrograde
Jupiter,Sponde,2.353870e+10,0.323,149.4,retrograde
Jupiter,Kale,2.304780e+10,0.262,164.6,retrograde
Jupiter,Pasithee,2.284080e+10,0.274,164.5,retrograde
Jupiter,Hegemone,2.334260e+10,0.357,152.5,retrograde
Jupiter,Mneme,2.081580e+10,0.240,147.8,retrograde
Jupiter,Aoede,2.377310e+10,0.437,155.7,retrograde
Jupiter,Thelxinoe,2.097230e+10,0.229,150.7,retrograde
Jupiter,Arche,2.309320e+10,0.263,164.5,retrograde
Jupiter,Kallichore,2.301710e+10,0.253,164.7,retrograde
Jupiter,Helike,2.091140e+10,0.155,154.4,retrograde
Jupiter,Carpo,1.703950e+10,0.415,53.3,prograde
Jupiter,Eukelade,2.306240e+10,0.274,164.7,retrograde
Jupiter,Cyllene,2.365000e+10,0.421,146.8,retrograde
Jupiter,Kore,2.420330e+10,0.338,141.7,retrograde
Jupiter,Herse,2.314670e+10,0.258,164.4,retrograde
Jupiter,S/2010_J_1,2.318560e+10,0.256,164.5,retrograde
Jupiter,S/2010_J_2,2.078690e+10,0.244,148.0,retrograde
Jupiter,Dia,1.225790e+10,0.232,29.1,prograde
Jupiter,S/2016_J_1,2.079670e+10,0.245,145.1,retrograde
Jupiter,S/2003_J_18,2.033280e+10,0.102,145.7,retrograde
Jupiter,S/2011_J_2,2.290340e+10,0.358,151.7,retrograde
Jupiter,Eirene,2.305130e+10,0.263,164.7,retrograde
Jupiter,Philophrosyne,2.260020e+10,0.221,146.1,retrograde
Jupiter,S/2017_J_1,2.373960e+10,0.321,145.6,retrograde
Jupiter,Eupheme,2.076340e+10,0.234,147.9,retrograde
Jupiter,S/2003_J_19,2.315310e+10,0.264,164.6,retrograde
Jupiter,Valetudo,1.869010e+10,0.217,34.5,prograde
Jupiter,S/2017_J_2,2.294960e+10,0.270,164.5,retrograde
Jupiter,S/2017_J_3,2.093650e+10,0.238,147.9,retrograde
